Código;Transacciones;Salida_Total;Salida_Promedio;Salida_Std;Salida_Min;Salida_Max
CER 001;2729;1055651.0;386.83;2394.1;1.0;120955.0
CER 005;2497;729812.0;292.28;1502.23;1.0;71732.0
CEO 001;2284;693588.0;303.67;2006.25;1.0;92054.0
CEO 006;2312;635757.0;274.98;1759.27;1.0;81971.0
CERE 002;233;254425.0;1091.95;1059.78;1.0;8500.0
CER 004;582;214084.0;367.84;557.25;1.0;5322.0
CER 008;775;208838.0;269.47;474.78;1.0;6405.0
CEO 009;608;145645.0;239.55;424.96;1.0;5887.0
CP-00008;1694;144140.0;85.09;224.51;1.0;6736.0
TPG-00001;949;135407.0;142.68;616.95;1.0;15928.0
CEO 002;123;124239.0;1010.07;1112.57;1.0;6000.0
CEO 004;462;116230.0;251.58;351.92;1.0;2905.0
TPC-00001;494;74004.0;149.81;401.93;1.0;5312.0
CEO-014;23;71562.0;3111.39;1865.92;1.0;10000.0
CP-00002;745;65091.0;87.37;344.24;1.0;7940.0
TPC-00006;430;45852.0;106.63;326.89;1.0;3717.0
CP-00007;255;40183.0;157.58;609.85;1.0;8887.0
TPG-00004;270;35268.0;130.62;256.04;1.0;2663.0
CER 009;116;32162.0;277.26;381.65;1.0;1980.0
TPH-00001;154;29195.0;189.58;485.8;1.0;4561.0
